Minutes Spent,age,device,gender,education,projectID,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,Are you a U.S. citizen and have you already decided to vote for either Joe Biden or Donald Trump for president? (thggqwv),in_GCF_description,in_GCF_risks,Do you consent to participate and agree to these terms? (oo4eyne),agreementScale,America is the best country on earth. (mjzf8w3),I lean conservative on *social* issues (sgmm4bs),Wealthy people are usually wealthy because they worked hard and contributed to society. (h98xuob),There is too much wealth *inequality* in America. (xi8mo6h),Vaccines usually cause more harm than good. (q281jh3),Our country needs free thinkers who have the courage to defy traditional ways. (oin2m4l),"We would be better off if we kicked all the non-citizen immigrants out of our our country, including kicking out those that came here legally. (uox3hud)",There is too much political correctness in this country. (60if1be),My opinion of Donald Trump has gotten worse over the past 4 years. (d1ac29q),"It-s very important that we protect U.S. jobs, and not allow them to disappear to foreign countries. (ailba3w)",We should have a lot of restrictions on the purchase of guns. (jph5o03),There are sometimes good reasons to spank or slap a child. (cp2dqnc),I think that the government should forgive all student debt. (b1r6ndx),Masculinity is mainly a bad thing. (k41q290),Humanity has a significant chance of going extinct in the next 100 years. (iqhz0mc),The fact that animals are commonly kept in tiny cages for most of their lives on factory farms is immoral. (ym9u90o),Corporations should not be trusted. (v40g3rw)
20.9,41,desktop,female,completedMastersDegree,500ce6da,10/1/20 10:26,1979,6,United States,"$115,000 to $149,999",1.0,6,132500,5712264,131,10/1/20 14:38,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,3,-3,-3,1.0,-3.0,-1.0,3.0,2.0,-1.0,-2.0,2.0,-2.0,-1.0,2.0,-3.0
32.43,52,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1968,5,United States,"$60,000 to $84,999",0.0,4,72500,5712199,131,10/1/20 14:27,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",2,,-3,3,-3,1.0,-2.0,1.0,1.0,3.0,3.0,0.0,-2.0,0.0,-1.0,2.0,2.0
31.48,36,desktop,male,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 10:26,1984,2,United States,"$25,000 to $39,999",0.0,2,32500,5712211,131,10/1/20 14:28,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,2,1,-3,3.0,-3.0,1.0,2.0,3.0,3.0,1.0,0.0,-3.0,1.0,3.0,3.0
33.7,25,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1995,5,United States,"$40,000 to $59,999",0.0,3,50000,5712196,131,10/1/20 14:27,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,0,3,-3,3.0,-3.0,-2.0,3.0,-1.0,3.0,-3.0,3.0,0.0,1.0,3.0,2.0
21.67,58,desktop,female,completedBachelorsDegree,500ce6da,10/1/20 10:26,1962,5,United States,"$60,000 to $84,999",1.0,4,72500,5712271,131,10/1/20 14:39,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,-3,3,-3,3.0,-3.0,-3.0,3.0,2.0,3.0,-2.0,3.0,0.0,3.0,3.0,1.0
31.25,59,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1961,5,United States,"$150,000 to $199,999",0.0,7,175000,5712220,131,10/1/20 14:29,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",2,,1,-1,-2,-1.0,-2.0,2.0,-2.0,2.0,-2.0,1.0,-2.0,-2.0,-2.0,-1.0,-1.0
31.37,38,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1982,5,United States,"$40,000 to $59,999",0.0,3,50000,5712222,131,10/1/20 14:30,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-3,3,-3,3.0,-3.0,1.0,1.0,2.0,-1.0,-3.0,-2.0,-2.0,1.0,3.0,3.0
36.3,47,desktop,female,completedBachelorsDegree,500ce6da,10/1/20 10:26,1973,5,United States,"$25,000 to $39,999",1.0,2,32500,5712202,131,10/1/20 14:27,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,2,3,-2,1.0,-2.0,3.0,-2.0,2.0,-1.0,1.0,-2.0,-2.0,-2.0,1.0,2.0
21.33,27,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1993,5,United States,"$85,000 to $114,999",0.0,5,100000,5712291,131,10/1/20 14:44,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-2,3,-3,2.0,-3.0,2.0,1.0,2.0,0.0,1.0,2.0,-2.0,3.0,2.0,3.0
36.2,61,desktop,male,completedAssociateDegreeOnly,500ce6da,10/1/20 10:26,1959,4,United States,"$40,000 to $59,999",0.0,3,50000,5712221,131,10/1/20 14:30,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",0,,0,3,-3,2.0,-3.0,-2.0,3.0,1.0,2.0,-1.0,0.0,-2.0,0.0,0.0,0.0
36.28,35,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1985,5,United States,"$85,000 to $114,999",0.0,5,100000,5712234,131,10/1/20 14:31,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,2,3,0,1.0,-2.0,-1.0,2.0,2.0,1.0,3.0,-2.0,-2.0,-1.0,1.0,1.0
25.82,32,desktop,female,completedBachelorsDegree,500ce6da,10/1/20 10:26,1988,5,United States,"$85,000 to $114,999",1.0,5,100000,5712289,131,10/1/20 14:44,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,-1,1,-3,2.0,2.0,3.0,2.0,3.0,-3.0,1.0,3.0,-3.0,-1.0,3.0,3.0
37.7,31,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1989,5,United States,"$150,000 to $199,999",0.0,7,175000,5712246,131,10/1/20 14:32,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,2,1,-2,1.0,-2.0,0.0,0.0,1.0,2.0,1.0,2.0,-2.0,-2.0,0.0,0.0
43.18,39,desktop,male,completedTradeTechicalVocationalTraing,500ce6da,10/1/20 10:26,1981,3,United States,"$60,000 to $84,999",0.0,4,72500,5712213,131,10/1/20 14:29,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,2,-1,0,2.0,-2.0,3.0,-1.0,2.0,-1.0,2.0,3.0,-1.0,1.0,1.0,1.0
34.6,58,desktop,male,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 10:26,1962,2,United States,"$60,000 to $84,999",0.0,4,72500,5712262,131,10/1/20 14:37,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,1,3,-3,-2.0,-1.0,3.0,-3.0,2.0,-2.0,-2.0,-2.0,-3.0,1.0,2.0,3.0
35.35,56,desktop,female,completedAssociateDegreeOnly,500ce6da,10/1/20 10:26,1964,4,United States,"$40,000 to $59,999",1.0,3,50000,5712261,131,10/1/20 14:37,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,1,3,-3,2.0,-3.0,-2.0,3.0,1.0,3.0,-2.0,2.0,-2.0,1.0,2.0,1.0
42.35,35,desktop,female,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 10:26,1985,2,United States,"Less than $9,999",1.0,0,4500,5712228,131,10/1/20 14:30,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,-1,3,0,2.0,-1.0,0.0,3.0,0.0,3.0,-3.0,3.0,-3.0,1.0,2.0,2.0
26.62,71,desktop,female,completedAssociateDegreeOnly,500ce6da,10/1/20 10:26,1949,4,United States,"$25,000 to $39,999",1.0,2,32500,5712308,131,10/1/20 14:50,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,3,-2,-3,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,-3.0,-2.0,3.0,3.0,-1.0
38.7,36,desktop,male,completedTradeTechicalVocationalTraing,500ce6da,10/1/20 10:26,1984,3,United States,"$25,000 to $39,999",0.0,2,32500,5712272,131,10/1/20 14:39,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,1,3,-2,2.0,-3.0,2.0,-2.0,2.0,-2.0,1.0,1.0,-2.0,3.0,-1.0,-1.0
29.48,45,desktop,female,completedBachelorsDegree,500ce6da,10/1/20 10:26,1975,5,United States,"$60,000 to $84,999",1.0,4,72500,5712311,131,10/1/20 14:50,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,0,3,-2,3.0,-3.0,-2.0,2.0,2.0,0.0,-1.0,0.0,0.0,3.0,3.0,1.0
36.22,51,desktop,female,completedAssociateDegreeOnly,500ce6da,10/1/20 10:26,1969,4,United States,"$40,000 to $59,999",1.0,3,50000,5712294,131,10/1/20 14:46,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-2,3,0,3.0,-2.0,0.0,-2.0,2.0,0.0,-2.0,2.0,-3.0,0.0,2.0,-2.0
