Minutes Spent,Points,Run,Program Version,Time Started (UTC),Position,User,Do you consent to participate and agree to these terms? (oo4eyne),in_progressIncrement,What are your current meditative and spiritual practices? Please tick all that apply. (ua0spdk),spiritualPracticeChecklistAnswers,Please share your current meditative and spiritual practices. (yj7qwt4),freetextifSomethingElseisaPractice,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (dxbqro5)","Over your whole lifetime, approximately how many total hours of formal meditation practice, prayer, or mindful contemplation from any spiritual tradition have you done? (2eykr8v)",hoursofMindFocusedPracticeLifetime,"Over your whole lifetime, approximately how many total hours of other formal breath or movement-based practice have you done (for example, yoga, tai chi, qi gong, martial arts, but NOT including activities such as team sports or athletics). (fsr58uk)",hoursofBodyFoucsedPracticeLifetime,out_progress,"Have you ever taken psychedelic drugs and then experienced lasting, significant or sudden change to your emotions, paradigms, habits, sense of identity, or perception of life? (cgjc4xu)",drugImpacts,"Have you ever explicitly attempted any formal magical, divine or occult practices, such as healing prayer, banishing, spirit contact, mind reading, clairvoyance, divination, astral travel, spell casting, or telekinesis? (a250clw)",magicalPracticesFreq,"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-? (nd7atoc)",supernaturalExperiences,"Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-. (e0kzqd7)",freetextifSomethingElseisanExperience,"Have you ever had sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded? (eczytws)",unusualNondrugMentalEvents,"Please share any other sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded. (iyy6byr)",freetextNondrugMentalEventswereSomethingElse,Please write the number of retreats you-ve attended. (ulbtcpw),noRetreats,Please estimate the total number of days you-ve had on retreats so far in your life. (261my3q),noDaysofRetreat,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (fz15ziw)",Please estimate the total number of days you-ve spent on retreats so far in your life. (ogyyvcs),"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-? (ovc05rd)","Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-. (x3yjzfj)","Sometimes these unusual mental events are seen in positive and-or transformative terms, even if they weren-t all pleasant. Which of these terms (or their very near equivalents) you have ever thought might reasonably apply to what was going on with you? (rf9besl)"
11.42,0,5955774,54,12/21/20 6:30,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Christian prayer or spiritual practice""]",,,,700,700,1500.0,1500.0,0.84,,"[-1,1]",No – I have never practiced or attempted such practices,0,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have experience of leaving my body behind to travel to some other place""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I suddenly felt that everything else was very small, or that I was very big,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I suddenly felt that everything else was very small, or that I was very big"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,2.0,2.0,,14.0,I've attended at least one.,14.0,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have experience of leaving my body behind to travel to some other place",,"Enlightenment,Peak Experience,Breakthrough Experience"
9.68,0,5956217,54,12/21/20 8:30,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,7,7,5.0,5.0,0.84,,1,Yes – I do this a lot now,4,,"[""Yes, I have had inexplicable knowledge of something that was happening elsewhere"",""Yes, I have had inexplicable knowledge of what somebody else was thinking about""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience""]",,,,,,,I haven't attended any.,,"Yes, I have had inexplicable knowledge of something that was happening elsewhere,Yes, I have had inexplicable knowledge of what somebody else was thinking about",,"Extremely rapid perception of “mind moments”,Conversion Experience,Knowledge and Conversation of one’s Holy Guardian Angel"
20.12,0,5957020,54,12/21/20 12:23,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Jewish prayer or spiritual practice"",""Something else"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Christian prayer or spiritual practice"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",Spiritual meditation is the mindful practice of connection to something that is.Gentle appreciation of the present moment and an attitude.,Spiritual meditation is the mindful practice of connection to something that is.Gentle appreciation of the present moment and an attitude.,,5,5,5.0,5.0,0.98,,unsure,Yes – I did this a lot in the past,2,,"[""Yes, I have experience of leaving my body behind to travel to some other place"",""Yes, I have had inexplicable knowledge of something that was happening elsewhere""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,3.0,3.0,,20.0,I've attended at least one.,20.0,"Yes, I have experience of leaving my body behind to travel to some other place,Yes, I have had inexplicable knowledge of something that was happening elsewhere",,"Psychic powers,Enlightenment,Ultimate Reality"
2.63,0,5959192,54,12/21/20 19:35,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Other buddhist spiritual practice"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Eastern mindfulness (e.g. Satipatthana, or the four foundations of mindfulness)"",""Zen buddhist spiritual practice"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,1,1,1.0,1.0,0.84,,1,Yes – I do this a lot now,4,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have had visions of other places or objects not physically present""]",,,"Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames,Yes, I had my point of view suddenly shift out of my body to a different perspective,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames"",""Yes, I had my point of view suddenly shift out of my body to a different perspective"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have had visions of other places or objects not physically present",,"Enlightenment,Peak Experience"
3.5,0,5959188,54,12/21/20 19:35,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,20,20,7.0,7.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
4.77,0,5959206,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Christian prayer or spiritual practice""]",,,,60,60,25.0,25.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,3.0,3.0,,5.0,I've attended at least one.,5.0,"No, I have never had such experiences",,Psychic powers
3.57,0,5959227,54,12/21/20 19:38,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
4.63,0,5959222,54,12/21/20 19:38,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
6.33,0,5959207,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,20.0,20.0,0.84,,"[-1,1]",No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
6.27,0,5959217,54,12/21/20 19:37,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,52,52,52.0,52.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
8.1,0,5959195,54,12/21/20 19:35,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,120,120,20.0,20.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
8.08,0,5959199,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
8.0,0,5959205,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
7.62,0,5959215,54,12/21/20 19:37,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,5,5,5.0,5.0,0.84,,unsure,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have had inexplicable knowledge of something that had not yet happened",,"I read the question, but I never thought any of these applied to me"
9.47,0,5959203,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,4,4,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Awakening
8.33,0,5959221,54,12/21/20 19:38,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
10.58,0,5959197,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Jewish prayer or spiritual practice""]",,,,1,1,1.0,1.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
11.18,0,5959190,54,12/21/20 19:35,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Christian prayer or spiritual practice""]",,,,200,200,5.0,5.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Kundalini,Nirvana/Nibbana,Enlightenment,Divine Marriage"
7.92,0,5959237,54,12/21/20 19:39,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,96,96,50.0,50.0,0.84,,"[-1,1]",Yes – I did this a little in the past,1,,"[""No, I have never had such experiences""]",,,"Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Breakthrough Experience
7.0,0,5959248,54,12/21/20 19:40,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
5.97,0,5959264,54,12/21/20 19:41,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,1800,1800,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
7.27,0,5959261,54,12/21/20 19:40,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,3.0,3.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
12.2,0,5959201,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Islamic prayer or spiritual practice""]",,,,0,0,5.0,5.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I've attended at least one. | I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
