Minutes Spent,Points,age,device,gender,education,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,numberOfTotalSections,in_progressIncrement,User,Do you consent to participate and agree to these terms? (tt8ht02),partOfAnotherStudy,Please describe what you view as the *single biggest problem* in your life right now. (oeneidz),biggestLifeProblem,Which *one* of these categories best matches what you described as the biggest problem in your life right now? (vldz3v3),biggestProblem,biggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about? If so, choose the category that best describes this problem. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (49929eh)",biggestProblem2nd,biggestProblem2ndType,Do you think this would still be *one of your two biggest* problems in life if we were not currently going through the global COVID-19 pandemic? (61017ps),biggestProblemStillWouldBeWithoutCOVID,Please describe what you view as your *second* biggest problem in your life right now. (zxeicxk),secondBiggestLifeProblem,Which *one* of these categories best matches what you described as the *second* biggest problem in your life right now? (qtqzid2),secondBiggestProblem,secondBiggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about (shown above)? If so, choose the category that best describes this second biggest problem of yours. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (1zmhlg8)",secondBiggestProblem2nd
29.42,0,52,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/5/20 22:13,1968,2,United States,"$40,000 to $59,999",1,3,50000,5804729,4,11/6/20 3:59,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Having to have surgery in a few weeks and knowing the down time will take me through the holidays,Having to have surgery in a few weeks and knowing the down time will take me through the holidays,*Other*: (something else not mentioned in this list),other,other,*Health issue*: I have health problems or an illness,unemployment,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,There really is not a second problem,There really is not a second problem,*Other*: (something else not mentioned in this list),other,other,*Injury or disability*: I have a physical disability or injury,physicalDisability
10.83,0,36,desktop,female,completedBachelorsDegree,11/5/20 23:10,1984,5,United States,"$115,000 to $149,999",1,6,132500,5804777,4,11/6/20 4:33,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in my life right now is finding someone to date and/or possibly marry in the future,The single biggest problem in my life right now is finding someone to date and/or possibly marry in the future,*Difficult decision*: I have a difficult decision or problem that I'm faced with and I don't know what choice to make or what to do about it,difficultDecision,decision,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is attaining a well-paying job so I can accumulate better assets.,My second biggest problem is attaining a well-paying job so I can accumulate better assets.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*None of these categories apply other than the one I already picked on the last question*,none
29.07,0,26,desktop,male,completedBachelorsDegree,11/6/20 0:34,1994,5,United States,"$40,000 to $59,999",0,3,50000,5804906,4,11/6/20 5:35,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The biggest single problem in my life right now is balancing my full time job with also taking full time classes for my graduate degree.,The biggest single problem in my life right now is balancing my full time job with also taking full time classes for my graduate degree.,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime,time,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem in my life is worrying about my family members getting sick with Covid,My second biggest problem in my life is worrying about my family members getting sick with Covid,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,*None of these categories apply other than the one I already picked on the last question*,none
11.0,0,66,desktop,male,completedBachelorsDegree,11/6/20 3:12,1954,5,United States,"$25,000 to $39,999",0,2,32500,5805108,4,11/6/20 8:14,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,my biggest problem is i care every little thing and its very hurt me lot. now a days i felt very stresful and depressed i cant handle this,my biggest problem is i care every little thing and its very hurt me lot. now a days i felt very stresful and depressed i cant handle this,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,*Difficult decision*: I have a difficult decision or problem that I'm faced with and I don't know what choice to make or what to do about it,difficultDecision,decision,"Yes, it still would likely be one of my two biggest life problems without COVID",1,this year is definately worst year of every one life. we lost most of the think,this year is definately worst year of every one life. we lost most of the think,"*Mental Health (other)*: I have other mental health challenges (*not* including anxiety or depression) - for instance bi-polar disorder, psychosis, borderline personality disorder, anorexia, etc.",otherMentalHealthNotAnxietyDepression,psychology,*Health issue*: I have health problems or an illness,unemployment
30.67,0,37,desktop,female,completedBachelorsDegree,11/6/20 3:02,1983,5,United States,"$25,000 to $39,999",1,2,32500,5805087,4,11/6/20 8:02,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,be  more financially independent,be  more financially independent,*Low income*: I don't have enough income,notEnoughIncome,money,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,"Yes, it still would likely be one of my two biggest life problems without COVID",1,be healthier,be healthier,*Health issue*: I have health problems or an illness,unemployment,health,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen
26.87,0,33,desktop,male,completedBachelorsDegree,11/6/20 3:12,1987,5,United States,"$85,000 to $114,999",0,5,100000,5805106,4,11/6/20 8:13,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest issue would have to be how meaningless life feels.,The single biggest issue would have to be how meaningless life feels.,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,*Dislike work*: I dislike my job or career,dislikeJob,work,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I do not like my job and it is a major source of stress.,I do not like my job and it is a major source of stress.,*Dislike work*: I dislike my job or career,dislikeJob,work,*Boredom*: I feel boredom or a lack of excitement in life,boredom
9.72,0,59,desktop,female,completedMastersDegree,11/6/20 3:33,1961,6,United States,"$115,000 to $149,999",1,6,132500,5805129,4,11/6/20 8:36,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,health and economy are the biggest problem in your life right now.,health and economy are the biggest problem in your life right now.,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet,social,*Old age*: I am experiencing the negative effects of old age,oldAge,aging,"Yes, it still would likely be one of my two biggest life problems without COVID",1,economy,economy,*Unsatisfied desire*: I really want something that I cannot have,reallWantSomethingCannotHave,desire,"*Insufficient self-care*: I don't take care of myself, or I don't engage in self-care, or I don't put effort into solving my problems",doNotTakeCareOfSelf
22.65,0,48,desktop,female,completedBachelorsDegree,11/6/20 4:07,1972,5,United States,"$10,000 to $24,999",1,1,17500,5805169,4,11/6/20 9:09,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I would like to move back to my home state but I've experienced some setbacks.,I would like to move back to my home state but I've experienced some setbacks.,"*Loss*: I have recently experienced a serious loss (e.g., a loved one died or my house burned down)",recent loss,event,*Unsatisfied desire*: I really want something that I cannot have,reallWantSomethingCannotHave,desire,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I experienced the loss of a loved one.,I experienced the loss of a loved one.,"*Loss*: I have recently experienced a serious loss (e.g., a loved one died or my house burned down)",recent loss,event,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely
21.4,0,60,desktop,female,completedMastersDegree,11/6/20 4:37,1960,6,United States,"$85,000 to $114,999",1,5,100000,5805202,4,11/6/20 9:57,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My biggest Problem is Money, Because the money is always important for everyone life, anyone person is richest man  is bought a any car, flight, land,etc...., The money half of the human beings","My biggest Problem is Money, Because the money is always important for everyone life, anyone person is richest man  is bought a any car, flight, land,etc...., The money half of the human beings",*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"My second biggest problem is Depression, The depression is very dangerous and kill in person, the depression is very stress and some person feeling is affection that problem,","My second biggest problem is Depression, The depression is very dangerous and kill in person, the depression is very stress and some person feeling is affection that problem,","*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,*None of these categories apply other than the one I already picked on the last question*,none
45.9,0,56,desktop,male,completedMastersDegree,11/6/20 5:49,1964,6,United States,"$25,000 to $39,999",0,2,32500,5805283,4,11/6/20 10:49,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,to not be able to provide for my family.,to not be able to provide for my family.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"I am worried our life has changed for good,  due to COVID-19.","I am worried our life has changed for good,  due to COVID-19.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind
11.42,0,27,desktop,female,completedBachelorsDegree,11/6/20 7:22,1993,5,United States,"$40,000 to $59,999",1,3,50000,5805415,4,11/6/20 12:23,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,single but i like,single but i like,"*Negative attitude*: I have a negative, pessimistic or cynical attitude",negativeAttitude,psychology,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,money problem,money problem,*Unsatisfied desire*: I really want something that I cannot have,reallWantSomethingCannotHave,desire,*None of these categories apply other than the one I already picked on the last question*,none
9.25,0,42,desktop,male,completedTradeTechicalVocationalTraing,11/6/20 11:41,1978,3,United States,"$40,000 to $59,999",0,3,50000,5805939,5,11/6/20 16:41,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"uncertainty with my job right now, with covid i am not sure how much longer i could hold my job. My dept can close anytime and i could be out of a job without any income to pay bills","uncertainty with my job right now, with covid i am not sure how much longer i could hold my job. My dept can close anytime and i could be out of a job without any income to pay bills","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Low income*: I don't have enough income,notEnoughIncome,money,"No, it would not",0,"making ends meet, right now i am barely getting by and if i have my hours cut then i won't be able to make enough money to pay all my obligations","making ends meet, right now i am barely getting by and if i have my hours cut then i won't be able to make enough money to pay all my obligations",*Low income*: I don't have enough income,notEnoughIncome,money,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment
8.92,0,53,desktop,male,completedProfessionalDegree,11/6/20 11:41,1967,7,United States,"$25,000 to $39,999",0,2,32500,5805966,5,11/6/20 16:44,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"Enjoy each second of it while we are experiencing it, and while we are being given the opportunity. You never know if and when it will come ...","Enjoy each second of it while we are experiencing it, and while we are being given the opportunity. You never know if and when it will come ...",*Low income*: I don't have enough income,notEnoughIncome,money,*Tiredness*: I sleep badly or feel tired most of the time,sleepOrFatigue,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"Enjoy each second of it while we are experiencing it, and while we are being given the opportunity. You never know if and when it will come ...","Enjoy each second of it while we are experiencing it, and while we are being given the opportunity. You never know if and when it will come ...",*Low income*: I don't have enough income,notEnoughIncome,money,*Health issue*: I have health problems or an illness,unemployment
12.18,0,43,desktop,female,completedBachelorsDegree,11/6/20 11:42,1977,5,United States,"$150,000 to $199,999",1,7,175000,5805951,5,11/6/20 16:42,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,So many things have changed due to COVID.  I can't stop worrying about what will happen in the future.,So many things have changed due to COVID.  I can't stop worrying about what will happen in the future.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers,social,"No, it would not",0,I am overweight and constantly yo-yo diet.  I need to get control of this for my future health.,I am overweight and constantly yo-yo diet.  I need to get control of this for my future health.,*Obesity*: I am obese or weigh too much,obsesity,health,"*Insufficient self-care*: I don't take care of myself, or I don't engage in self-care, or I don't put effort into solving my problems",doNotTakeCareOfSelf
13.27,0,38,desktop,female,completedBachelorsDegree,11/6/20 11:41,1982,5,United States,"$115,000 to $149,999",1,6,132500,5805945,5,11/6/20 16:42,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My husband is unhappy at work.,My husband is unhappy at work.,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Being overweight,Being overweight,*Obesity*: I am obese or weigh too much,obsesity,health,*Bad habits*: I have bad habits that I struggle to break (*not* including addiction to drugs or alcohol),negativeAttitude
11.32,0,32,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:41,1988,2,United States,"$10,000 to $24,999",0,1,17500,5805961,5,11/6/20 16:44,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I cannot get a job because then I lose my medicaid and can't get my heart surgery. I am so bored without a job.,I cannot get a job because then I lose my medicaid and can't get my heart surgery. I am so bored without a job.,*Boredom*: I feel boredom or a lack of excitement in life,boredom,psychology,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Mturk has been extremely slow this week.,Mturk has been extremely slow this week.,*Low income*: I don't have enough income,notEnoughIncome,money,*None of these categories apply other than the one I already picked on the last question*,none
13.17,0,27,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:41,1993,2,United States,"$60,000 to $84,999",0,4,72500,5805958,5,11/6/20 16:43,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"Trust us, some of the same, time-worn interview questions will show up. ... As you prepare for that interview,","Trust us, some of the same, time-worn interview questions will show up. ... As you prepare for that interview,","*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"As you prepare for that interview, shift your perspective. ... ""Describe a challenge or conflict you've faced and how you dealt with it. ... People often get stuck on how to spin a weakness into a positive asset because, ... you","As you prepare for that interview, shift your perspective. ... ""Describe a challenge or conflict you've faced and how you dealt with it. ... People often get stuck on how to spin a weakness into a positive asset because, ... you",*Injury or disability*: I have a physical disability or injury,physicalDisability,health,*None of these categories apply other than the one I already picked on the last question*,none
15.65,0,54,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:41,1966,2,United States,"$40,000 to $59,999",1,3,50000,5805943,5,11/6/20 16:41,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My biggest problem is due to Covid-19. Most of my family live in the UK, and I had to cancel a trip to see them in May. Since then, any time I have tried to re-book, the UK has either extended quarantine for visitors or gone back into lockdown. I need to re-book at some point or I will lose my money.","My biggest problem is due to Covid-19. Most of my family live in the UK, and I had to cancel a trip to see them in May. Since then, any time I have tried to re-book, the UK has either extended quarantine for visitors or gone back into lockdown. I need to re-book at some point or I will lose my money.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,I need to try and sign up for health insurance but I am having a problem in the actual sign-up process.,I need to try and sign up for health insurance but I am having a problem in the actual sign-up process.,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,*None of these categories apply other than the one I already picked on the last question*,none
16.67,0,37,desktop,male,completedBachelorsDegree,11/6/20 11:42,1983,5,United States,"$200,000 or more",0,8,225000,5805954,5,11/6/20 16:43,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,raising kids during a pandemic,raising kids during a pandemic,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime,time,"No, it would not",0,lowered income,lowered income,*Low income*: I don't have enough income,notEnoughIncome,money,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment
